Date,Close,Volume,Open,High,Low
05/18/2015, $130.19, 50723240, $128.38, $130.72, $128.36
05/15/2015, $128.77, 38128470, $129.07, $129.49, $128.21
05/14/2015, $128.95, 45123920, $127.41, $128.95, $127.16
05/13/2015, $126.01, 34611600, $126.15, $127.19, $125.87
05/12/2015, $125.865, 48073450, $125.6, $126.88, $124.82
05/11/2015, $126.32, 41920740, $127.39, $127.56, $125.625
05/08/2015, $127.62, 55473820, $126.68, $127.62, $126.11
05/07/2015, $125.26, 42653920, $124.77, $126.08, $124.02
05/06/2015, $125.01, 72037370, $126.56, $126.75, $123.36
05/05/2015, $125.8, 49127770, $128.15, $128.4498, $125.78
05/04/2015, $128.7, 50905020, $129.5, $130.57, $128.26
05/01/2015, $128.95, 57349000, $126.1, $130.13, $125.3
04/30/2015, $125.15, 82924980, $127.5, $127.88, $124.58
04/29/2015, $128.64, 63063240, $130.16, $131.59, $128.3
04/28/2015, $130.56, 118693700, $134.455, $134.54, $129.57
04/27/2015, $132.65, 95084260, $132.31, $133.13, $131.15
04/24/2015, $130.28, 44209710, $130.49, $130.63, $129.23
04/23/2015, $129.67, 45596690, $128.3, $130.42, $128.14
04/22/2015, $128.62, 37575420, $126.99, $128.87, $126.32
04/21/2015, $126.91, 32341380, $128.1, $128.2, $126.67
04/20/2015, $127.6, 46975110, $125.57, $128.12, $125.17
04/17/2015, $124.75, 51481310, $125.55, $126.14, $124.46
04/16/2015, $126.17, 28020240, $126.28, $127.1, $126.11
04/15/2015, $126.78, 28922420, $126.41, $127.13, $126.01
04/14/2015, $126.3, 25418280, $127, $127.29, $125.91
04/13/2015, $126.85, 36248620, $128.37, $128.57, $126.61
04/10/2015, $127.1, 40125760, $125.95, $127.21, $125.26
04/09/2015, $126.56, 32244360, $125.85, $126.58, $124.66
04/08/2015, $125.6, 37272090, $125.85, $126.4, $124.97
04/07/2015, $126.01, 34894810, $127.64, $128.1218, $125.98
04/06/2015, $127.35, 36917490, $124.47, $127.51, $124.33
04/02/2015, $125.32, 32171410, $125.03, $125.56, $124.19
04/01/2015, $124.25, 40463140, $124.82, $125.12, $123.1
03/31/2015, $124.43, 42019420, $126.09, $126.49, $124.355
03/30/2015, $126.37, 46974980, $124.05, $126.4, $124
03/27/2015, $123.25, 39471720, $124.57, $124.7, $122.91
03/26/2015, $124.24, 47409610, $122.76, $124.88, $122.6
03/25/2015, $123.38, 51505600, $126.54, $126.82, $123.38
03/24/2015, $126.69, 32747200, $127.23, $128.04, $126.56
03/23/2015, $127.21, 37597600, $127.12, $127.85, $126.52
03/20/2015, $125.9, 68516180, $128.25, $128.4, $125.16
03/19/2015, $127.495, 45674520, $128.75, $129.2451, $127.4
03/18/2015, $128.47, 65118170, $127, $129.16, $126.37
03/17/2015, $127.04, 50891230, $125.9, $127.32, $125.65
03/16/2015, $124.95, 35816300, $123.88, $124.95, $122.87
03/13/2015, $123.59, 51744670, $124.4, $125.3951, $122.58
03/12/2015, $124.45, 48233270, $122.31, $124.9, $121.63
03/11/2015, $122.24, 68812690, $124.75, $124.77, $122.11
03/10/2015, $124.51, 68720360, $126.41, $127.22, $123.8
03/09/2015, $127.14, 88410240, $127.96, $129.57, $125.06
03/06/2015, $126.6, 72699680, $128.4, $129.37, $126.26
03/05/2015, $126.41, 56391280, $128.58, $128.75, $125.76
03/04/2015, $128.54, 31588480, $129.1, $129.56, $128.32
03/03/2015, $129.36, 37749900, $128.96, $129.52, $128.09
03/02/2015, $129.09, 48042680, $129.25, $130.28, $128.3
02/27/2015, $128.46, 61931350, $130, $130.57, $128.24
02/26/2015, $130.415, 91171830, $128.785, $130.87, $126.61
02/25/2015, $128.79, 74555120, $131.56, $131.6, $128.15
02/24/2015, $132.17, 69109410, $132.94, $133.6, $131.17
02/23/2015, $133, 73089250, $130.02, $133, $129.66
02/20/2015, $129.495, 48878410, $128.62, $129.5, $128.05
02/19/2015, $128.45, 37295460, $128.48, $129.03, $128.33
02/18/2015, $128.715, 44695980, $127.625, $128.78, $127.45
02/17/2015, $127.83, 63014110, $127.49, $128.88, $126.92
02/13/2015, $127.08, 53955650, $127.28, $127.28, $125.65
02/12/2015, $126.46, 74374630, $126.06, $127.48, $125.57
02/11/2015, $124.88, 73278020, $122.77, $124.92, $122.5
02/10/2015, $122.02, 61845390, $120.17, $122.15, $120.16
02/09/2015, $119.72, 37900780, $118.55, $119.84, $118.43
02/06/2015, $118.93, 43633660, $120.02, $120.25, $118.45
02/05/2015, $119.94, 42197110, $120.02, $120.23, $119.25
02/04/2015, $119.56, 69975180, $118.5, $120.51, $118.309
02/03/2015, $118.65, 51842080, $118.5, $119.09, $117.61
02/02/2015, $118.63, 62542440, $118.05, $119.17, $116.08
01/30/2015, $117.16, 83646800, $118.4, $120, $116.85
01/29/2015, $118.9, 84132130, $116.32, $119.19, $115.56
01/28/2015, $115.31, 146184300, $117.625, $118.12, $115.31
01/27/2015, $109.14, 92326640, $112.42, $112.48, $109.03
01/26/2015, $113.1, 55457420, $113.74, $114.3626, $112.8
01/23/2015, $112.98, 46420020, $112.3, $113.75, $111.53
01/22/2015, $112.4, 53717440, $110.26, $112.47, $109.72
01/21/2015, $109.55, 48482860, $108.95, $111.06, $108.27
01/20/2015, $108.72, 49742320, $107.84, $108.9667, $106.5
01/16/2015, $105.99, 78453330, $107.03, $107.58, $105.2
01/15/2015, $106.82, 59808470, $110, $110.06, $106.66
01/14/2015, $109.8, 48728190, $109.04, $110.49, $108.5
01/13/2015, $110.22, 66969980, $111.43, $112.8, $108.91
01/12/2015, $109.25, 49571170, $112.6, $112.63, $108.8
01/09/2015, $112.01, 53645730, $112.67, $113.25, $110.21
01/08/2015, $111.89, 59168760, $109.23, $112.15, $108.7
01/07/2015, $107.75, 39983350, $107.2, $108.2, $106.695
01/06/2015, $106.26, 65682250, $106.54, $107.43, $104.63
01/05/2015, $106.25, 64210880, $108.29, $108.65, $105.41
01/02/2015, $109.33, 53143770, $111.39, $111.44, $107.35
12/31/2014, $110.38, 41304780, $112.82, $113.13, $110.21
12/30/2014, $112.52, 29798660, $113.64, $113.92, $112.11
12/29/2014, $113.91, 27533430, $113.79, $114.77, $113.7
12/26/2014, $113.99, 33681200, $112.1, $114.52, $112.01
12/24/2014, $112.01, 14479610, $112.58, $112.71, $112.01
12/23/2014, $112.54, 25991030, $113.23, $113.33, $112.46
12/22/2014, $112.94, 45097060, $112.16, $113.49, $111.97
12/19/2014, $111.78, 86595830, $112.26, $113.24, $111.66
12/18/2014, $112.65, 58785590, $111.87, $112.65, $110.66
12/17/2014, $109.41, 53265930, $107.12, $109.84, $106.82
12/16/2014, $106.745, 60651790, $106.37, $110.16, $106.26
12/15/2014, $108.225, 67083260, $110.7, $111.6, $106.35
12/12/2014, $109.73, 55873820, $110.46, $111.87, $109.58
12/11/2014, $111.62, 41404690, $112.26, $113.8, $111.34
12/10/2014, $111.95, 44475360, $114.41, $114.85, $111.54
12/09/2014, $114.12, 60112240, $110.19, $114.3, $109.35
12/08/2014, $112.4, 57445030, $114.1, $114.648, $111.62
12/05/2014, $115, 38230970, $115.99, $116.08, $114.64
12/04/2014, $115.49, 42068020, $115.77, $117.2, $115.29
12/03/2014, $115.93, 42956200, $115.75, $116.35, $115.11
12/02/2014, $114.63, 59205320, $113.5, $115.75, $112.75
12/01/2014, $115.07, 83657780, $118.81, $119.25, $111.27
11/28/2014, $118.93, 24814400, $119.27, $119.4, $118.05
11/26/2014, $119, 40756950, $117.94, $119.1, $117.83
11/25/2014, $117.6, 68719930, $119.07, $119.75, $117.45
11/24/2014, $118.625, 46867340, $116.85, $118.77, $116.62
11/21/2014, $116.47, 56759320, $117.51, $117.57, $116.03
11/20/2014, $116.31, 43148650, $114.91, $116.86, $114.85
11/19/2014, $114.67, 41815550, $115.44, $115.74, $113.8
11/18/2014, $115.47, 44163250, $113.94, $115.69, $113.89
11/17/2014, $113.99, 46687710, $114.27, $117.28, $113.3
11/14/2014, $114.18, 43789060, $113.15, $114.19, $113.05
11/13/2014, $112.82, 59418180, $111.8, $113.45, $111.6
11/12/2014, $111.25, 46372630, $109.38, $111.43, $109.37
11/11/2014, $109.7, 27330410, $108.7, $109.75, $108.4
11/10/2014, $108.83, 27066060, $109.02, $109.33, $108.67
11/07/2014, $109.01, 33655280, $108.75, $109.32, $108.55
11/06/2014, $108.7, 34733740, $108.6, $108.79, $107.8
11/05/2014, $108.86, 37365530, $109.1, $109.3, $108.125
11/04/2014, $108.6, 41423660, $109.36, $109.49, $107.72
11/03/2014, $109.4, 52154490, $108.22, $110.3, $108.01
10/31/2014, $108, 44550790, $108.01, $108.04, $107.21
10/30/2014, $106.98, 40572000, $106.959, $107.35, $105.9
10/29/2014, $107.34, 52545580, $106.65, $107.37, $106.36
10/28/2014, $106.74, 47689070, $105.4, $106.74, $105.35
10/27/2014, $105.11, 34086120, $104.85, $105.48, $104.7
10/24/2014, $105.22, 46937880, $105.18, $105.49, $104.53
10/23/2014, $104.83, 70760150, $104.08, $105.051, $103.63
10/22/2014, $102.99, 68140010, $102.84, $104.11, $102.6
10/21/2014, $102.47, 93786680, $103.02, $103.02, $101.27
10/20/2014, $99.76, 75705040, $98.315, $99.96, $98.22
10/17/2014, $97.67, 67723910, $97.5, $99, $96.81
10/16/2014, $96.26, 72017830, $95.55, $97.72, $95.41
10/15/2014, $97.54, 99942790, $97.97, $99.15, $95.18
10/14/2014, $98.75, 63287170, $100.39, $100.52, $98.57
10/13/2014, $99.81, 53437060, $101.33, $101.78, $99.81
10/10/2014, $100.73, 66249770, $100.69, $102.03, $100.3
10/09/2014, $101.02, 77283330, $101.54, $102.38, $100.61
10/08/2014, $100.8, 57329820, $98.76, $101.11, $98.31
10/07/2014, $98.75, 42003200, $99.43, $100.12, $98.73
10/06/2014, $99.62, 36780620, $99.95, $100.65, $99.42
10/03/2014, $99.62, 43419580, $99.44, $100.21, $99.04
10/02/2014, $99.9, 47697150, $99.27, $100.22, $98.04
10/01/2014, $99.18, 51400260, $100.59, $100.69, $98.7
09/30/2014, $100.75, 55119980, $100.81, $101.54, $100.53
09/29/2014, $100.11, 49263260, $98.65, $100.435, $98.63
09/26/2014, $100.75, 62276770, $98.53, $100.75, $98.4
09/25/2014, $97.87, 99689300, $100.51, $100.71, $97.72
09/24/2014, $101.75, 59974260, $102.16, $102.85, $101.2
09/23/2014, $102.64, 63255860, $100.6, $102.94, $100.54
09/22/2014, $101.06, 52421660, $101.8, $102.14, $100.58
09/19/2014, $100.96, 70747430, $102.29, $102.35, $100.88
09/18/2014, $101.79, 36971170, $101.93, $102.35, $101.56
09/17/2014, $101.58, 60783090, $101.27, $101.8, $100.5922
09/16/2014, $100.86, 66754370, $99.8, $101.26, $98.89
09/15/2014, $101.63, 61169670, $102.81, $103.05, $101.44
09/12/2014, $101.66, 62826040, $101.21, $102.19, $101.08
09/11/2014, $101.43, 62077230, $100.41, $101.44, $99.62
09/10/2014, $101, 100352500, $98.01, $101.11, $97.76
09/09/2014, $97.99, 189419500, $99.08, $103.08, $96.14
09/08/2014, $98.36, 46176570, $99.3, $99.31, $98.05
09/05/2014, $98.97, 58280030, $98.8, $99.39, $98.31
09/04/2014, $98.12, 85537710, $98.85, $100.09, $97.79
09/03/2014, $98.94, 125000400, $103.1, $103.2, $98.58
09/02/2014, $103.3, 53227770, $103.06, $103.74, $102.72
08/29/2014, $102.5, 44516120, $102.86, $102.9, $102.2
08/28/2014, $102.25, 68368740, $101.59, $102.78, $101.56
08/27/2014, $102.13, 46807000, $101.02, $102.57, $100.7
08/26/2014, $100.889, 33079170, $101.42, $101.5, $100.86
08/25/2014, $101.54, 40087220, $101.79, $102.17, $101.28
08/22/2014, $101.32, 44028280, $100.29, $101.47, $100.19
08/21/2014, $100.58, 33377530, $100.57, $100.94, $100.11
08/20/2014, $100.57, 52565000, $100.44, $101.09, $99.95
08/19/2014, $100.53, 69189840, $99.41, $100.68, $99.32
08/18/2014, $99.16, 47285630, $98.49, $99.37, $97.98
08/15/2014, $97.98, 48938120, $97.9, $98.19, $96.86
08/14/2014, $97.5, 28056530, $97.33, $97.57, $96.8
08/13/2014, $97.24, 31866630, $96.15, $97.24, $96.04
08/12/2014, $95.97, 33485870, $96.04, $96.88, $95.61
08/11/2014, $95.99, 36459430, $95.27, $96.08, $94.8355
08/08/2014, $94.74, 41783300, $94.26, $94.82, $93.28
08/07/2014, $94.48, 46553350, $94.93, $95.95, $94.1
08/06/2014, $94.96, 38463700, $94.75, $95.48, $94.71
08/05/2014, $95.12, 55861030, $95.36, $95.68, $94.36
08/04/2014, $95.59, 39860740, $96.37, $96.58, $95.17
08/01/2014, $96.13, 48379730, $94.9, $96.62, $94.81
07/31/2014, $95.6, 56625420, $97.16, $97.45, $95.33
07/30/2014, $98.15, 32978480, $98.44, $98.7, $97.67
07/29/2014, $98.38, 42957960, $99.33, $99.44, $98.25
07/28/2014, $99.02, 54926940, $97.82, $99.24, $97.55
07/25/2014, $97.671, 43384590, $96.85, $97.84, $96.64
07/24/2014, $97.03, 45609040, $97.035, $97.32, $96.42
07/23/2014, $97.19, 90937230, $95.42, $97.88, $95.17
07/22/2014, $94.72, 54297530, $94.68, $94.89, $94.12
07/21/2014, $93.939, 38792960, $94.99, $95, $93.72
07/18/2014, $94.43, 49838110, $93.62, $94.74, $93.02
07/17/2014, $93.0899, 57111160, $95.03, $95.279, $92.57
07/16/2014, $94.78, 53323940, $96.97, $97.1, $94.74
07/15/2014, $95.32, 45187420, $96.8, $96.85, $95.03
07/14/2014, $96.45, 42643760, $95.86, $96.89, $95.65
07/11/2014, $95.22, 33960300, $95.36, $95.89, $94.8625
07/10/2014, $95.035, 39633800, $93.76, $95.55, $93.52
07/09/2014, $95.39, 36267350, $95.44, $95.95, $94.76
07/08/2014, $95.35, 65111960, $96.27, $96.8, $93.92
07/07/2014, $95.968, 54809030, $94.14, $95.99, $94.1
07/03/2014, $94.03, 22891750, $93.67, $94.1, $93.2
